Timestamp,What is your occupation?,Where do you spend most of your free time?,How much time do you spend on streaming services?,How much time do you spend on gaming?,How much time do you spend on social media?,What are you most worried about during this time?,ONE word that describes your mood right now.,Where are you located ?
29/03/2020 00:22:00,Professional,"Other (Gardening, Cooking, Sleeping)",> 3 hours,1 - 3 hours,< 1 hour,"Family, Economy, Being stuck at home",Happy,
29/03/2020 00:26:52,Student,"Online Courses (Coursera, LinkedIn Learning, Udemy)",< 1 hour,< 1 hour,1 - 3 hours,"Job, Family, Being stuck at home",Irritated,
29/03/2020 00:37:44,Professional,"Online Courses (Coursera, LinkedIn Learning, Udemy)",> 3 hours,< 1 hour,1 - 3 hours,Job,Bored,
29/03/2020 00:38:23,Home-maker,"Social Media (Twitter, Instagram, Facebook)",< 1 hour,< 1 hour,1 - 3 hours,Family,Depression ,
29/03/2020 00:38:35,Professional,"Streaming services (Netflix, Amazon Prime, Youtube)",> 3 hours,< 1 hour,> 3 hours,"Job, Family",Aimless,
29/03/2020 00:38:53,Professional,"Other (Gardening, Cooking, Sleeping)",1 - 3 hours,< 1 hour,< 1 hour,"Family, Economy",Calm ,
29/03/2020 00:44:06,Professional,"Other (Gardening, Cooking, Sleeping)",1 - 3 hours,< 1 hour,< 1 hour,"Job, Family, Being stuck at home",Tired,
29/03/2020 00:51:59,Professional,"Social Media (Twitter, Instagram, Facebook)",> 3 hours,< 1 hour,1 - 3 hours,Being stuck at home,Annoyed,
29/03/2020 00:54:52,Professional,"Social Media (Twitter, Instagram, Facebook)",1 - 3 hours,< 1 hour,1 - 3 hours,Family,Bore,
29/03/2020 00:56:26,Professional,"Streaming services (Netflix, Amazon Prime, Youtube)",> 3 hours,< 1 hour,> 3 hours,"Job, Family, Economy",Terrible,
29/03/2020 01:11:41,Retired,"Gaming (Mobile, Xbox, Nintendo)",< 1 hour,1 - 3 hours,1 - 3 hours,Being stuck at home,Enjoying lockdown condition which never experienced in life,
29/03/2020 01:14:05,Professional,"Streaming services (Netflix, Amazon Prime, Youtube)",> 3 hours,> 3 hours,< 1 hour,Economy,Angry,
29/03/2020 01:23:26,Retired,"Other (Gardening, Cooking, Sleeping)",< 1 hour,< 1 hour,1 - 3 hours,Being stuck at home,Good,
29/03/2020 01:29:19,Retired Mathematics Professor,Working (I'm a workaholic !),< 1 hour,< 1 hour,1 - 3 hours,Family,Praying ,
29/03/2020 01:33:47,Professional,"Other (Gardening, Cooking, Sleeping)",> 3 hours,< 1 hour,< 1 hour,Family,Irritating ,
29/03/2020 01:34:07,Student,"Online Courses (Coursera, LinkedIn Learning, Udemy)",,,1 - 3 hours,"Job, Economy, Being stuck at home, My future",Learn something new ,
29/03/2020 01:38:40,Student,"Other (Gardening, Cooking, Sleeping)",< 1 hour,,1 - 3 hours,Being stuck at home,Bored,
29/03/2020 01:42:00,Student,"Social Media (Twitter, Instagram, Facebook)",< 1 hour,< 1 hour,1 - 3 hours,Family,Aimless ,
29/03/2020 01:42:17,Student,"Other (Gardening, Cooking, Sleeping)",,,,Family,Boring,
29/03/2020 01:46:43,Student,"Other (Gardening, Cooking, Sleeping)",< 1 hour,< 1 hour,< 1 hour,"Family, Economy, Being stuck at home",HAPPY,
29/03/2020 01:49:08,Professional,"Online Courses (Coursera, LinkedIn Learning, Udemy)",< 1 hour,< 1 hour,< 1 hour,Family,Contented,
29/03/2020 01:51:56,Student,"Social Media (Twitter, Instagram, Facebook)",1 - 3 hours,< 1 hour,1 - 3 hours,Family,Happy to spend time with family,
29/03/2020 01:52:42,Student,"Social Media (Twitter, Instagram, Facebook)",< 1 hour,< 1 hour,< 1 hour,Family,Aai Baba,
29/03/2020 01:57:51,Student,"Other (Gardening, Cooking, Sleeping)",> 3 hours,1 - 3 hours,1 - 3 hours,Family,Boring,
29/03/2020 01:58:05,Student,"Gaming (Mobile, Xbox, Nintendo)",< 1 hour,1 - 3 hours,< 1 hour,Family,Bored,
29/03/2020 01:59:19,Student,"Social Media (Twitter, Instagram, Facebook)",< 1 hour,< 1 hour,> 3 hours,"Family, Economy, Being stuck at home",Lazy ,
29/03/2020 01:59:45,Student,"Online Courses (Coursera, LinkedIn Learning, Udemy)",< 1 hour,< 1 hour,< 1 hour,To get more knowledge ,Optimistic ,
29/03/2020 02:09:48,Student,"Social Media (Twitter, Instagram, Facebook)",1 - 3 hours,< 1 hour,1 - 3 hours,Academic session and exams ,Lazy and tired ,
29/03/2020 02:13:05,Student,"Social Media (Twitter, Instagram, Facebook)",1 - 3 hours,< 1 hour,1 - 3 hours,Exams,Bored,
29/03/2020 02:13:14,Student,"Other (Gardening, Cooking, Sleeping)",< 1 hour,< 1 hour,< 1 hour,"Economy, Being stuck at home",Depleted ,
29/03/2020 02:14:14,Professional,"Social Media (Twitter, Instagram, Facebook)",< 1 hour,< 1 hour,1 - 3 hours,"Job, Family",Worried,
29/03/2020 02:20:02,Professional,"Other (Gardening, Cooking, Sleeping)",1 - 3 hours,< 1 hour,< 1 hour,"Job, Family, Economy, Being stuck at home",Anxious,
